Rank,BGG ID,Title,Rating,Voters,Published,PlayingTime,MinPlayers,MaxPlayers,Designer,Categories,Mechanics,Expansions,PlayerAge,NumPlayers,Language
192,26997,1989: Dawn of Freedom,7.149,1234,2012,150,2,2,,,Area Control / Area Influence,0,14,2,4: Unplayable
193,1513,The Republic of Rome,7.148,2928,1990,300,1,6,,,Dice Rolling,2,16,5,4: Unplayable
194,27162,Kingsburg,7.144,11532,2007,90,2,5,,Dice,Dice Rolling,10,10,4,3: Too much
195,63888,Innovation,7.144,7985,2010,60,2,4,,Card Game,Hand Management,3,12,2,4: Unplayable
196,62222,Commands & Colors: Napoleonics,7.142,1314,2010,90,2,2,,Wargame,Campaign / Battle Card Driven,4,12,2,3: Too much
197,143693,Glass Road,7.139,2937,2013,75,1,4,Uwe Rosenberg,Card Game,Simultaneous Action Selection,1,10,2,2: Possible
198,62227,"Labyrinth: The War on Terror, 2001-? ",7.136,2382,2010,180,1,2,,Wargame,Area Control / Area Influence,1,14,2,4: Unplayable
199,90419,Airlines Europe,7.135,3932,2011,75,2,5,Alan R. Moon,Economic,Card Drafting,3,10,4,1: Need crib
200,103886,Star Wars: The Card Game,7.129,2909,2012,60,2,2,,Card Game,Hand Management,21,12,2,4: Unplayable
201,131357,Coup,7.129,8986,2012,15,2,6,,Card Game,Memory,1,10,5,2: Possible
202,27173,Vikings,7.127,5602,2007,60,2,4,,Economic,Auction/Bidding,0,10,3,1: Need crib
203,478,Citadels,7.124,29394,2000,90,2,8,Bruno Faidutti,Card Game,Card Drafting,1,10,5,3: Too much
204,58281,Summoner Wars,7.124,3877,2009,30,2,4,,Card Game,Action Point Allowance System,28,8,2,3: Too much
205,79127,Star Trek: Fleet Captains,7.124,2187,2011,75,2,4,,Science Fiction,Action Point Allowance System,2,12,2,4: Unplayable
206,9674,Ingenious,7.124,10973,2004,45,1,4,Reiner Knizia,Abstract Strategy,Hand Management,0,8,2,1: Need crib
207,172,For Sale,7.119,11073,1997,20,3,6,,Card Game,Auction/Bidding,0,8,5,1: Need crib
